target_type,target_id,decision,rationale,reviewer,decision_version
candidate_match,7bf35787-8fb6-5639-9268-9bf400752552,rejected,"The June 18, 1943 Butler County Press item-level OCR and bounded full-text fallback supply no usable exact-name context for John S. Mayes and therefore cannot establish identity or employment.",Before OSS batch 626 source review,batch-626b-loc-v1
candidate_match,04952569-ca47-5bc7-a2e7-eb50b85150f2,rejected,"The March 1, 1940 Mahnomen Pioneer item-level OCR and bounded full-text fallback supply no usable exact-name context for John S. Mayes and therefore cannot establish identity or employment.",Before OSS batch 626 source review,batch-626b-loc-v1
candidate_match,cdb42708-74fd-5d73-bd26-96fe70852afb,rejected,"The July 21, 1939 Laredo Times item-level OCR and bounded full-text fallback supply no usable exact-name context for John S. Mayes and therefore cannot establish identity or employment.",Before OSS batch 626 source review,batch-626b-loc-v1
candidate_match,44128b7a-a2a8-5cd6-8796-089e669f9703,rejected,"The June 7, 1946 Summit County Labor News item-level OCR and bounded full-text fallback supply no usable exact-name context for John S. Mayes; the item is also postwar.",Before OSS batch 626 source review,batch-626b-loc-v1
candidate_match,b5103d34-4455-5a67-a9e3-6a5f57aa9aef,rejected,"The May 24, 1946 Summit County Labor News item-level OCR and bounded full-text fallback supply no usable exact-name context for John S. Mayes; the item is also postwar.",Before OSS batch 626 source review,batch-626b-loc-v1
candidate_match,0eec8e28-b706-5647-b168-5f01fc29c4a6,rejected,"The July 10, 1942 Milford Chronicle context identifies William James Mayhew as a newborn child. It is incompatible with the indexed Major William A. Mayhew and cannot support identity or employment.",Before OSS batch 626 source review,batch-626b-loc-v1
research_status,cb1de698-1c69-5108-aeb1-de3b81b009d9,in_progress,"The exact-name LoC pass returned no discovery candidate for Robert W. Maynard; continue the minimum protocol with official military, directory, obituary, institutional, and archival sources.",Before OSS batch 626 source review,batch-626b-loc-v1
research_status,e427752f-defe-51c2-b1dc-08d13ea506a4,in_progress,"The exact-name LoC pass returned no discovery candidate for Wendell Mayfield; continue the minimum protocol with official, directory, obituary, institutional, and archival sources.",Before OSS batch 626 source review,batch-626b-loc-v1
research_status,0029b65e-85f3-528e-88f4-9707d4395249,in_progress,"The exact-name LoC pass returned no discovery candidate for Wilda M. Mayes; continue the minimum protocol with official military, directory, obituary, institutional, and archival sources.",Before OSS batch 626 source review,batch-626b-loc-v1
research_status,64514777-cbc8-53f9-a54e-e1cbe39eaf02,in_progress,"The sole LoC candidate concerned a newborn William James Mayhew rather than indexed Major William A. Mayhew; continue official military, directory, obituary, institutional, and archival research.",Before OSS batch 626 source review,batch-626b-loc-v1
research_status,04ebeaae-03df-5556-815a-3545177194e0,in_progress,"The exact-name LoC pass returned no discovery candidate for Bruce H. Mazlish; continue the minimum protocol with official, directory, obituary, institutional, and archival sources.",Before OSS batch 626 source review,batch-626b-loc-v1
research_status,2e05d400-407c-5668-bfac-ecd6fafcc9ba,in_progress,"The exact-name LoC pass returned no discovery candidate for Eugene Mazieres; continue the minimum protocol with official military, directory, obituary, institutional, and archival sources.",Before OSS batch 626 source review,batch-626b-loc-v1
research_status,4a51ec7d-3141-5884-9773-c23e902857fa,in_progress,"The exact-name LoC pass returned no discovery candidate for Jean Mazou; continue the minimum protocol with official military, directory, obituary, institutional, and archival sources.",Before OSS batch 626 source review,batch-626b-loc-v1
research_status,bf2c0315-2226-5975-9c44-d4b18e0ecba3,in_progress,"Five LoC candidates lacked usable exact-name OCR context or were postwar; continue the minimum protocol with official, directory, obituary, institutional, and archival sources.",Before OSS batch 626 source review,batch-626b-loc-v1
research_status,ee435edd-e5a0-5318-aa91-0f2dee5a994e,in_progress,"The exact-name LoC pass returned no discovery candidate for Louis A. Mazarri; continue the minimum protocol with official military, directory, obituary, institutional, and archival sources.",Before OSS batch 626 source review,batch-626b-loc-v1
research_status,5688a930-b4d5-514a-a5f7-a48ada4c54dd,in_progress,"The exact-name LoC pass returned no discovery candidate for Riccardo Mazzarini; continue the minimum protocol with official, directory, obituary, institutional, and archival sources.",Before OSS batch 626 source review,batch-626b-loc-v1
