target_type,target_id,decision,rationale,reviewer,decision_version
candidate_match,83ad3100-41d8-5ad2-871e-2c34fc1210f9,rejected,"The December 3, 1940 Waterbury Democrat item identifies Democratic chairman John T. McCarthy, not indexed John F. McCarthy. The middle initial conflicts and it cannot resolve the indexed identity conflict.",Before OSS batch 629 source review,batch-629c-loc-v1
candidate_match,08373715-feaf-5a8c-8fe3-cfbb7a1711de,rejected,"The September 14, 1942 Waterbury Democrat item identifies State Chairman John T. McCarthy, not indexed John F. McCarthy. The middle initial conflicts and it cannot resolve the indexed identity conflict.",Before OSS batch 629 source review,batch-629c-loc-v1
candidate_match,c2b5c647-4672-5529-bfbd-7f02fa8c89a0,rejected,"The June 28, 1946 East Hartford Gazette item identifies Motor Vehicles Commissioner John T. McCarthy, not indexed John F. McCarthy. The middle initial conflicts, the item is postwar, and it cannot resolve the indexed identity conflict.",Before OSS batch 629 source review,batch-629c-loc-v1
candidate_match,b67a773c-4a83-5a4c-9e7a-36a49cf019a6,rejected,"The July 8, 1941 Waterbury Democrat item identifies Motor Vehicles Commissioner John T. McCarthy, not indexed John F. McCarthy. The middle initial conflicts and it cannot resolve the indexed identity conflict.",Before OSS batch 629 source review,batch-629c-loc-v1
candidate_match,a35397b3-478e-5a7f-9996-8a0d305a1c9b,rejected,"The October 7, 1940 Waterbury Democrat item identifies Democratic Chairman John T. McCarthy, not indexed John F. McCarthy. The middle initial conflicts and it cannot resolve the indexed identity conflict.",Before OSS batch 629 source review,batch-629c-loc-v1
candidate_match,2df05abf-e0ab-5d66-8c42-6ece1588be8c,rejected,"The November 20, 1943 Evening Star birth list names parents John and Josephine McCarthy but contains no P.C. initials, occupation, rank, protected identifier, or OSS context. The common surname and first name are insufficient to identify indexed John P.C. McCarthy.",Before OSS batch 629 source review,batch-629c-loc-v1
candidate_match,71aa37d0-45cb-53d1-9096-8ef717ec36cd,rejected,"The February 1, 1877 Catoctin Clarion item identifies Jeremiah McCarthy, not indexed John P.C. McCarthy. It is a temporally remote surname-only false positive and supplies no evidence for this index person.",Before OSS batch 629 source review,batch-629c-loc-v1
candidate_match,1d2285f5-c84d-5269-acf7-495d87743418,rejected,"The February 16, 1942 Waterbury Democrat funeral notice places Robert McCarthy beside John Pierce and never identifies John P.C. McCarthy. It is an OCR adjacency false positive and supplies no identity or employment evidence.",Before OSS batch 629 source review,batch-629c-loc-v1
candidate_match,f9a584a5-ee57-5506-b562-15f255063941,rejected,"The November 8, 1940 Evening Star sports item names only a McCarthy alongside Parkhurst and never identifies John P.C. McCarthy. The surname-only hit supplies no identity or employment evidence.",Before OSS batch 629 source review,batch-629c-loc-v1
candidate_match,225f0c0e-1d45-58ac-9c66-6b1985ed61a7,rejected,"The December 8, 1942 Waterbury Democrat item identifies Motor Vehicles Commissioner John T. McCarthy, not indexed John P.C. McCarthy. The middle initials conflict and no corroborating identifier supports a match.",Before OSS batch 629 source review,batch-629c-loc-v1
research_status,d5db343c-7209-505d-b40b-f777f67cf63c,needs_identity_review,"All five LoC candidates concerned John T. McCarthy rather than indexed John F. McCarthy; preserve the existing Army identity conflict and inspect the original personnel file before resolution.",Before OSS batch 629 source review,batch-629c-loc-v1
research_status,0e1f546e-4042-5b57-b674-4a89446bd242,in_progress,"The five LoC candidates were wrong-name, adjacency, surname-only, or context-poor common-name hits and did not identify John P.C. McCarthy; continue official military, directory, obituary, institutional, and archival research.",Before OSS batch 629 source review,batch-629c-loc-v1
research_status,ac926cdc-3a10-5f4f-8cf1-38161388b76c,in_progress,"The exact-name LoC pass returned no discovery candidate for William J. McCart; continue the minimum protocol with official military, directory, obituary, institutional, and archival sources.",Before OSS batch 629 source review,batch-629c-loc-v1
