target_type,target_id,decision,rationale,reviewer,decision_version
research_status,c1b6b82d-c145-5149-9f72-9555becdc655,in_progress,"The exact-name LoC pass returned no discovery candidate for Fred C. Mayfield; continue the minimum protocol with official military, directory, obituary, institutional, and archival sources.",Before OSS batch 626 source review,batch-626-loc-v1
research_status,b6ec052d-deda-5185-a93c-fc980c72c9cc,in_progress,"The exact-name LoC pass returned no discovery candidate for John T. Mayher; continue the minimum protocol with official military, directory, obituary, institutional, and archival sources.",Before OSS batch 626 source review,batch-626-loc-v1
research_status,21c878e1-cfbe-598b-86ab-023aa190f643,in_progress,"The exact-name LoC pass returned no discovery candidate for Alfred F. Mayo; continue the minimum protocol with official military, directory, obituary, institutional, and archival sources.",Before OSS batch 626 source review,batch-626-loc-v1
research_status,f8b77af3-d064-5205-9dd0-c47e44106b40,in_progress,"The exact-name LoC pass returned no discovery candidate for Jack D. Mayo; continue the minimum protocol with official military, directory, obituary, institutional, and archival sources.",Before OSS batch 626 source review,batch-626-loc-v1
research_status,60761450-1025-5f48-84f7-a6cb03a32011,in_progress,"The exact-name LoC pass returned no discovery candidate for Homer N. Mayrand; continue the minimum protocol with official military, directory, obituary, institutional, and archival sources.",Before OSS batch 626 source review,batch-626-loc-v1
research_status,76fd6b1a-a6d9-52cc-acc9-3493407064a0,in_progress,"The exact-name LoC pass returned no discovery candidate for Joseph G. Mayton; continue the minimum protocol with official military, directory, obituary, institutional, and archival sources.",Before OSS batch 626 source review,batch-626-loc-v1
research_status,8c0cc44d-739a-5b8d-a9f4-ef4f30081668,in_progress,"The exact-name LoC pass returned no discovery candidate for Alex Mazel. The accepted Army crosswalk establishes identity only; employer and temporal research continue through official military, directory, obituary, institutional, and archival sources.",Before OSS batch 626 source review,batch-626-loc-v1
research_status,0548651b-fdba-55a7-a84d-872f73841bc8,in_progress,"The exact-name LoC pass returned no discovery candidate for Dana G. Mazerolle. The accepted Army crosswalk establishes identity only; employer and temporal research continue through official military, directory, obituary, institutional, and archival sources.",Before OSS batch 626 source review,batch-626-loc-v1
research_status,5a4777cc-80f6-5cab-92c1-41f3ea95184b,in_progress,"The exact-name LoC pass returned no discovery candidate for Chester John Mazur. The accepted Army crosswalk establishes identity only; employer and temporal research continue through official military, directory, obituary, institutional, and archival sources.",Before OSS batch 626 source review,batch-626-loc-v1
research_status,7070d5ae-ce2a-5d1c-92b8-6a6cae3ccdee,in_progress,"The exact-name LoC pass returned no discovery candidate for Gesualdo J. Mazza. The accepted Army crosswalk establishes identity only; employer and temporal research continue through official military, directory, obituary, institutional, and archival sources.",Before OSS batch 626 source review,batch-626-loc-v1
