target_type,target_id,decision,rationale,reviewer,decision_version
candidate_match,6078138f-152c-5013-bd21-4c54e489bba4,accepted,"Indexed PFC Barry McGill and official Army MC GILL BARRY share a nonshared protected identifier and agree in full name after normalization of fixed-width surname spacing. Identity crosswalk only; Army grade and occupation codes are not employer evidence.",Before OSS batch 638 identity review,batch-638-identity-v1
candidate_match,7b4f0c5d-5fda-57b6-9abc-d735dde9ba04,accepted,"Indexed Corporal Edward J. McGlynn and official Army MC GLYNN EDWARD J JR share a nonshared protected identifier and agree in base full name after normalization of fixed-width surname spacing. The Army-added Jr. suffix remains a sourced variant; Army codes are not employer evidence.",Before OSS batch 638 identity review,batch-638-identity-v1
candidate_match,2615315b-f447-5377-8277-3d8ba1287db1,accepted,"Indexed PFC Edward M. McGinnis and official Army MC GINNIS EDWARD M share a nonshared protected identifier and agree in full name after normalization of fixed-width surname spacing. Identity crosswalk only; Army codes are not employer evidence.",Before OSS batch 638 identity review,batch-638-identity-v1
candidate_match,53d75837-7ecc-5730-8f5f-085803d01f2a,accepted,"Indexed Harlan McGonigal and official Army MC GONIGAL HARL N share a nonshared protected identifier and agree in surname while the fixed-width given-name rendering differs. The unique identifier supports identity, but both spellings remain explicit variants pending Box 506 review; Army codes are not employer evidence.",Before OSS batch 638 identity review,batch-638-identity-v1
candidate_match,e695b181-2a61-5307-9a2c-672e5d3f2fc2,accepted,"Indexed PFC John J. McGourty and official Army MC GOURTY JOHN J share a nonshared protected identifier and agree in full name after normalization of fixed-width surname spacing. Identity crosswalk only; Army codes are not employer evidence.",Before OSS batch 638 identity review,batch-638-identity-v1
candidate_match,8626b5bf-e508-54bb-be2f-01c0d62f17cd,conflicting,"Indexed Private Leon A. McGinnis and official Army MC GINNIS LEON D share a nonshared protected identifier, but their middle initials conflict. Preserve the crosswalk as conflicting pending Box 506 review; do not use Army grade or occupation codes as employer evidence.",Before OSS batch 638 identity review,batch-638-identity-v1
candidate_match,a595ea95-4939-5ca9-8815-f0bf15c5faf0,accepted,"Indexed PFC William C. McGovern and official Army MC GOVERN WILLIAM C share a nonshared protected identifier and agree in full name after normalization of fixed-width surname spacing. Identity crosswalk only; Army codes are not employer evidence.",Before OSS batch 638 identity review,batch-638-identity-v1
candidate_match,425b60dd-147a-5663-9667-d2f312054a37,accepted,"Indexed Technician Fifth Grade William H. McGill and official Army MC GILL WILLIAM H share a nonshared protected identifier and agree in full name after normalization of fixed-width surname spacing. Identity crosswalk only; the differing grade snapshots and occupation code are not employer evidence.",Before OSS batch 638 identity review,batch-638-identity-v1
candidate_match,b11cdd43-d2fd-52bf-96ef-8e2a5b6c50b3,accepted,"Indexed William L. McGill and official Army MC GILL WILLIAM L JR share a nonshared protected identifier and agree in base full name after normalization of fixed-width surname spacing. The Army-added Jr. suffix remains a sourced variant; Army codes are not employer evidence.",Before OSS batch 638 identity review,batch-638-identity-v1
research_status,a574c48c-ad3b-57a1-ae43-c985d9c94364,in_progress,"The Army crosswalk supports high-confidence identity for Barry McGill but supplies no named employer; continue the minimum protocol and inspect Box 505.",Before OSS batch 638 identity review,batch-638-identity-v1
research_status,05f65963-c3d4-55cc-9de3-b6ce4d6904b8,in_progress,"The bounded LoC employment search returned no reliable result; continue the minimum protocol and inspect Box 505.",Before OSS batch 638 identity review,batch-638-identity-v1
research_status,4f730acf-788d-5f0f-b340-fae1209bf8ca,in_progress,"The Army crosswalk supports high-confidence identity for William L. McGill, while both LoC namesakes were rejected; continue the minimum protocol and inspect Box 505.",Before OSS batch 638 identity review,batch-638-identity-v1
research_status,d6d56580-d0ae-5cc5-91bb-9e52e746ba4f,in_progress,"The Army crosswalk supports high-confidence identity for William H. McGill, while both LoC namesakes were rejected; continue the minimum protocol and inspect Box 505.",Before OSS batch 638 identity review,batch-638-identity-v1
research_status,19933c86-d3c0-5d70-a61a-a2decbaa88f1,in_progress,"The bounded LoC employment search returned no reliable result; continue the minimum protocol and inspect Box 505.",Before OSS batch 638 identity review,batch-638-identity-v1
research_status,8a2055db-b8a6-519b-abd4-95a5fb0a767c,in_progress,"The bounded LoC employment search returned no reliable result; continue the minimum protocol and inspect Box 505.",Before OSS batch 638 identity review,batch-638-identity-v1
research_status,3ecc51f1-f0bc-5847-9ab7-1d77b4fc5d29,in_progress,"The bounded LoC employment search returned no reliable result; continue the minimum protocol and inspect Box 505.",Before OSS batch 638 identity review,batch-638-identity-v1
research_status,19527627-c8ef-5beb-9c82-4eb2b082fed0,needs_identity_review,"This CAF-11 David K. McGinnis row remains separate from the adjacent same-name row because the index supplies no common protected identifier and places the records in different boxes. Inspect Box 505 before merging.",Before OSS batch 638 identity review,batch-638-identity-v1
research_status,4d925235-45a5-5159-a7a5-a62ecfa8f571,needs_identity_review,"This unranked David K. McGinnis row remains separate from the adjacent CAF-11 row because the index supplies no common protected identifier and places the records in different boxes. Inspect Box 506 before merging.",Before OSS batch 638 identity review,batch-638-identity-v1
research_status,46b3e995-3c27-5791-a165-d171b3cce7d7,in_progress,"The bounded LoC employment search returned no reliable result; continue the minimum protocol and inspect Box 506.",Before OSS batch 638 identity review,batch-638-identity-v1
research_status,f2ba7ece-afb3-59e6-8667-ba0d1d64a3cd,in_progress,"Both postwar Senate references were rejected as unbridged namesakes; continue the minimum protocol and inspect Box 506.",Before OSS batch 638 identity review,batch-638-identity-v1
research_status,00711a15-d463-54d9-b64e-1774dcbb8b40,in_progress,"The Army crosswalk supports high-confidence identity for Edward M. McGinnis, while two initial-conflict LoC candidates were rejected; continue the minimum protocol and inspect Box 506.",Before OSS batch 638 identity review,batch-638-identity-v1
research_status,f466bb16-1781-5ad5-b65f-d35f17033d3c,conflicting_sources,"The protected identifier agrees with an official Army entry for Leon McGinnis, but the index prints middle initial A and the Army file prints D. Inspect Box 506 before relying on the crosswalk or making employment claims.",Before OSS batch 638 identity review,batch-638-identity-v1
research_status,8c545524-a2bf-51a0-a47b-6fa703c1d0a0,in_progress,"The bounded LoC employment search returned no reliable result; continue the minimum protocol and inspect Box 506.",Before OSS batch 638 identity review,batch-638-identity-v1
research_status,e8d03935-3728-53a5-81fe-223e327de47f,in_progress,"The bounded LoC employment search returned no reliable result; continue the minimum protocol and inspect Box 506.",Before OSS batch 638 identity review,batch-638-identity-v1
research_status,5e66c7f7-38aa-567d-99cd-9c9c826932b8,in_progress,"The Army crosswalk supports high-confidence identity for Edward J. McGlynn and adds a Jr. suffix variant; the unrelated ration-book notice was rejected. Continue the minimum protocol and inspect Box 506.",Before OSS batch 638 identity review,batch-638-identity-v1
research_status,1ded0ad9-a341-5cf8-9517-3027537e7578,in_progress,"The bounded LoC employment search returned no reliable result; continue the minimum protocol and inspect Box 506.",Before OSS batch 638 identity review,batch-638-identity-v1
research_status,5124d908-2dcc-51e3-8357-fc1f746e7945,in_progress,"The bounded LoC employment search returned no reliable result; continue the minimum protocol and inspect Box 506.",Before OSS batch 638 identity review,batch-638-identity-v1
research_status,46f824d1-5a14-57ae-88d3-edcc9bb87e04,in_progress,"The Army crosswalk supports high-confidence identity for Harlan McGonigal while preserving the fixed-width HARL N variant; continue the minimum protocol and inspect Box 506.",Before OSS batch 638 identity review,batch-638-identity-v1
research_status,968ba99c-f60f-51d5-a7a0-f7e4dba3c44d,in_progress,"The Army crosswalk supports high-confidence identity for John J. McGourty but supplies no named employer; continue the minimum protocol and inspect Box 506.",Before OSS batch 638 identity review,batch-638-identity-v1
research_status,4154128c-4ca7-5725-bdcc-7c84cc0b4ace,in_progress,"The bounded LoC employment search returned no reliable result; continue the minimum protocol and inspect Box 506.",Before OSS batch 638 identity review,batch-638-identity-v1
research_status,770cf847-09bb-50f8-a57c-0e03d10e8a68,in_progress,"The Army crosswalk supports high-confidence identity for William C. McGovern; the middle-initial-conflict LoC candidate was rejected. Continue the minimum protocol and inspect Box 506.",Before OSS batch 638 identity review,batch-638-identity-v1
research_status,80e851c4-c1ae-5bd5-b591-9ec4c92a351a,in_progress,"The Northwestern professor newspaper item remains an unbridged exact-name lead and was rejected; continue the minimum protocol and inspect Box 506 before assigning any employer.",Before OSS batch 638 identity review,batch-638-identity-v1
