target_type,target_id,decision,rationale,reviewer,decision_version
candidate_match,041d6d74-e6ea-5831-a89f-50552afd4fc2,rejected,"The legal notice names Carl A. Marshall, not indexed Carl D. Marshall; no OSS or employment linkage.",Codex archival review,loc-page-context-v1
candidate_match,4ea8b100-22c5-514a-a7da-cfbd527f0898,rejected,"The legal notice names Carl A. Marshall, not indexed Carl D. Marshall; no OSS or employment linkage.",Codex archival review,loc-page-context-v1
candidate_match,561ce0a2-8e23-5e48-bee3-8643fbddd606,rejected,"The legal notice names Carl A. Marshall, not indexed Carl D. Marshall; no OSS or employment linkage.",Codex archival review,loc-page-context-v1
candidate_match,91abfc1c-1d07-5547-a21a-ea9b9a615d84,rejected,"The legal notice names Carl A. Marshall, not indexed Carl D. Marshall; no OSS or employment linkage.",Codex archival review,loc-page-context-v1
candidate_match,fbc9ac92-dfe5-5afd-8b34-21c4af1e1773,rejected,"The OCR joins the separate tokens Carl Rankin and Marshall; it does not identify a Carl D. Marshall.",Codex archival review,loc-page-context-v1
candidate_match,77632217-2c5c-5ae1-9221-f452846925d1,rejected,"The OCR joins Joseph Whitney and Willis Van Peenen from a list; it does not identify Joseph F. Willis.",Codex archival review,loc-page-context-v1
research_status,1c0bf216-76cf-5444-ba1a-ac373bc715ae,in_progress,"All current LoC candidates were rejected as namesakes or OCR token joins; continue the minimum protocol with official and exact-name OSS sources.",Codex archival review,loc-page-context-v1
research_status,c54e438e-0464-53a1-8d9e-473c8ef80847,in_progress,"The current LoC candidate was rejected as an OCR token join; continue the minimum protocol with official and exact-name OSS sources.",Codex archival review,loc-page-context-v1
candidate_match,7ac1c510-1dbc-5c6e-b38c-3a15285a43d4,rejected,"The article names Lewis R. Nichols, not indexed Lewis H. Nichols; the middle initial conflicts.",Codex archival review,loc-page-context-v1
candidate_match,a8d62be8-2e38-599e-92df-f2f847bc3e9b,rejected,"The article names Robert W. Snyder, not indexed Robert P. Snyder; the middle initial conflicts.",Codex archival review,loc-page-context-v1
candidate_match,db764c96-1a71-58a3-806e-4c441b7fbc21,rejected,"The article names Robert M. Snyder, not indexed Robert P. Snyder; the middle initial conflicts.",Codex archival review,loc-page-context-v1
candidate_match,7739f78c-9d09-5280-98aa-14a246755be0,rejected,"The article names Robert M. Snyder, not indexed Robert P. Snyder; the middle initial conflicts.",Codex archival review,loc-page-context-v1
candidate_match,5404d2d8-cd71-53e6-a143-34a9d33b5b23,rejected,"The article names Robert M. Snyder, not indexed Robert P. Snyder; the middle initial conflicts.",Codex archival review,loc-page-context-v1
candidate_match,8b51510b-632d-5b82-b274-4a7afa58c581,rejected,"The article names Robert M. Snyder, not indexed Robert P. Snyder; the middle initial conflicts.",Codex archival review,loc-page-context-v1
candidate_match,deaae34c-3b93-530f-9cb2-6392c2898f76,rejected,"The 1948 article names William F. Patterson and is postwar; it does not establish a pre-OSS affiliation for indexed William N. Patterson.",Codex archival review,loc-page-context-v1
candidate_match,308592d4-a793-5bc2-baba-69dfa4774060,rejected,"The 1949 newspaper page is postwar and does not establish a pre-OSS affiliation for this common-name record.",Codex archival review,loc-page-context-v1
candidate_match,4f076776-9611-5fff-92e7-d4962700a832,rejected,"The 1946 article names William A. Patterson and is postwar; the middle initial and temporal context conflict.",Codex archival review,loc-page-context-v1
candidate_match,b7aba8ce-efbf-5a7d-932a-64f9fc15d442,rejected,"The 1940 article names William A. Patterson, not indexed William N. Patterson; the middle initial conflicts.",Codex archival review,loc-page-context-v1
candidate_match,4c090ee6-1bd2-554e-8e25-bcb7914a2a85,rejected,"The 1957 newspaper page is postwar and cannot establish a pre-OSS affiliation for this common-name record.",Codex archival review,loc-page-context-v1
research_status,72026b46-fb17-5749-922c-28f57e576e65,in_progress,"The LoC candidate was rejected for a conflicting middle initial; continue the minimum protocol with official and exact-name OSS sources.",Codex archival review,loc-page-context-v1
research_status,fc6928ae-ec6f-5fc8-92ae-158bbcedca2d,in_progress,"All LoC candidates were rejected for conflicting middle initials; continue the minimum protocol with official and exact-name OSS sources.",Codex archival review,loc-page-context-v1
research_status,23c288dd-521d-5571-9cd3-221f1b955ee5,in_progress,"All LoC candidates were rejected as wrong-initial or postwar records; continue the minimum protocol with official and exact-name OSS sources.",Codex archival review,loc-page-context-v1
